model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B,4000,1000,0,240,2.448,1,1,4,80,80,3,2224.618,90.306,92440.312,2.448,0.153,2448.12,153.008,11.073,0.809,0.887,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,66.171,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,44.708,trtllm,1.0.0,l40s,0.0,153.008
Qwen/Qwen3-32B,4000,1000,0,228,2.407,1,1,4,76,76,3,2224.618,87.272,89409.346,2.407,0.15,2406.72,150.42,11.458,0.809,0.872,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,66.171,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,43.487,trtllm,1.0.0,l40s,0.0,150.42
Qwen/Qwen3-32B,4000,1000,0,216,2.363,1,1,4,72,72,3,2224.618,84.237,86377.381,2.363,0.148,2362.56,147.66,11.871,0.809,0.856,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,66.171,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,42.266,trtllm,1.0.0,l40s,0.0,147.66
Qwen/Qwen3-32B,4000,1000,0,192,2.263,1,1,4,64,64,3,2224.618,78.168,80314.45,2.263,0.141,2263.2,141.45,12.793,0.809,0.82,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,66.171,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,39.825,trtllm,1.0.0,l40s,0.0,141.45
Qwen/Qwen3-32B,4000,1000,0,168,2.128,1,1,4,56,56,3,2224.618,72.717,74868.901,2.128,0.133,2127.96,132.998,13.752,0.809,0.771,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,66.171,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,37.383,trtllm,1.0.0,l40s,0.0,132.998
Qwen/Qwen3-32B,4000,1000,0,156,2.053,1,1,4,52,52,3,2224.618,69.991,72145.627,2.053,0.128,2053.44,128.34,14.287,0.809,0.744,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,66.171,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,36.163,trtllm,1.0.0,l40s,0.0,128.34
Qwen/Qwen3-32B,4000,1000,0,132,1.885,1,1,4,44,44,3,2224.618,64.474,66634.144,1.885,0.118,1885.08,117.818,15.51,0.809,0.683,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,66.171,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,33.721,trtllm,1.0.0,l40s,0.0,117.818
Qwen/Qwen3-32B,4000,1000,0,108,1.689,1,1,4,36,36,3,2224.618,58.885,61050.733,1.689,0.106,1689.12,105.57,16.982,0.809,0.612,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,66.171,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,31.28,trtllm,1.0.0,l40s,0.0,105.57
Qwen/Qwen3-32B,4000,1000,0,90,1.515,1,1,4,30,30,3,2224.618,54.718,56887.9,1.515,0.095,1515.24,94.703,18.275,0.809,0.549,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,66.171,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,29.449,trtllm,1.0.0,l40s,0.0,94.703
Qwen/Qwen3-32B,4000,1000,0,66,1.261,1,1,4,22,22,3,2224.618,48.222,50398.396,1.261,0.079,1261.32,78.832,20.737,0.809,0.457,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,66.171,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,27.008,trtllm,1.0.0,l40s,0.0,78.832
