model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B,4000,1000,0,14,0.192,14,14,2488.758,70.1,72518.841,0.192,0.096,192.068,96.034,14.265,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,44.013,0.014,1.0,13.0,4013.0,4000,13.0,trtllm,1.0.0,l40s,0.0,96.034
Qwen/Qwen3-32B,4000,1000,0,13,0.183,13,13,2437.663,68.316,70685.805,0.183,0.092,182.821,91.41,14.638,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,43.402,0.013,1.0,12.0,4012.0,4000,12.0,trtllm,1.0.0,l40s,0.0,91.41
Qwen/Qwen3-32B,4000,1000,0,12,0.173,12,12,2386.66,66.53,68849.725,0.173,0.087,173.106,86.553,15.031,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,42.792,0.012,1.0,11.0,4011.0,4000,11.0,trtllm,1.0.0,l40s,0.0,86.553
Qwen/Qwen3-32B,4000,1000,0,11,0.163,11,11,2335.749,64.742,67013.027,0.163,0.082,162.878,81.439,15.446,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,42.182,0.011,1.0,10.0,4010.0,4000,10.0,trtllm,1.0.0,l40s,0.0,81.439
Qwen/Qwen3-32B,4000,1000,0,10,0.152,10,10,2284.929,62.955,65176.52,0.152,0.076,152.095,76.048,15.884,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,41.571,0.01,1.0,9.0,4009.0,4000,9.0,trtllm,1.0.0,l40s,0.0,76.048
Qwen/Qwen3-32B,4000,1000,0,9,0.141,9,9,2234.202,61.167,63340.205,0.141,0.07,140.709,70.354,16.349,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,40.961,0.009,1.0,8.0,4008.0,4000,8.0,trtllm,1.0.0,l40s,0.0,70.354
Qwen/Qwen3-32B,4000,1000,0,8,0.129,8,8,2183.566,59.38,61504.081,0.129,0.064,128.668,64.334,16.841,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,40.35,0.008,1.0,7.0,4007.0,4000,7.0,trtllm,1.0.0,l40s,0.0,64.334
Qwen/Qwen3-32B,4000,1000,0,7,0.116,7,7,2133.022,57.602,59677.91,0.116,0.058,115.896,57.948,17.36,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,39.74,0.007,1.0,6.0,4006.0,4000,6.0,trtllm,1.0.0,l40s,0.0,57.948
Qwen/Qwen3-32B,4000,1000,0,6,0.102,6,6,2082.57,55.825,57851.705,0.102,0.051,102.351,51.175,17.913,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,39.129,0.006,1.0,5.0,4005.0,4000,5.0,trtllm,1.0.0,l40s,0.0,51.175
Qwen/Qwen3-32B,4000,1000,0,5,0.088,5,5,2032.21,54.047,56025.343,0.088,0.044,87.958,43.979,18.502,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,38.519,0.005,1.0,4.0,4004.0,4000,4.0,trtllm,1.0.0,l40s,0.0,43.979
Qwen/Qwen3-32B,4000,1000,0,4,0.073,4,4,1981.941,52.27,54199.191,0.073,0.036,72.637,36.319,19.132,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,37.908,0.004,1.0,3.0,4003.0,4000,3.0,trtllm,1.0.0,l40s,0.0,36.319
Qwen/Qwen3-32B,4000,1000,0,3,0.057,3,3,1931.764,51.129,53010.072,0.057,0.028,56.591,28.296,19.558,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,37.298,0.003,1.0,2.0,4002.0,4000,2.0,trtllm,1.0.0,l40s,0.0,28.296
Qwen/Qwen3-32B,4000,1000,0,2,0.039,2,2,1882.006,49.995,51827.304,0.039,0.02,39.245,19.623,20.002,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,36.687,0.002,1.0,1.0,4001.0,4000,1.0,trtllm,1.0.0,l40s,0.0,19.623
Qwen/Qwen3-32B,4000,1000,0,1,0.022,1,1,1831.687,44.655,46441.578,0.022,0.011,21.92,10.96,22.394,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,36.077,0.001,1.0,1.0,4000.0,4000,1.0,trtllm,1.0.0,l40s,0.0,10.96
