model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B,4000,1000,0,216,3.894,1,1,5,72,72,3,1908.81,51.064,52921.746,3.894,0.243,3894.36,243.398,19.583,0.943,1.411,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,79.084,trtllm,1.0.0,a100_sxm,0.0,243.398
Qwen/Qwen3-32B,4000,1000,0,204,3.836,1,1,5,68,68,3,1908.81,48.975,50834.835,3.836,0.24,3836.4,239.775,20.418,0.943,1.39,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,76.642,trtllm,1.0.0,a100_sxm,0.0,239.775
Qwen/Qwen3-32B,4000,1000,0,168,3.541,1,1,5,56,56,3,1908.81,43.687,45552.123,3.541,0.221,3541.08,221.318,22.89,0.943,1.283,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,69.318,trtllm,1.0.0,a100_sxm,0.0,221.318
Qwen/Qwen3-32B,4000,1000,0,56,1.697,1,1,2,56,56,1,1908.81,24.99,26873.82,1.697,0.212,1697.4,212.175,40.016,0.943,2.243,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,37.383,trtllm,1.0.0,a100_sxm,0.0,212.175
Qwen/Qwen3-32B,4000,1000,0,76,2.845,1,1,4,76,76,1,1908.81,24.607,26491.203,2.845,0.178,2844.64,177.79,40.639,0.943,3.092,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,24.444,trtllm,1.0.0,a100_sxm,0.0,177.79
Qwen/Qwen3-32B,4000,1000,0,56,2.679,1,1,4,56,56,1,1908.81,19.252,21141.558,2.679,0.167,2679.04,167.44,51.941,0.943,2.912,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,21.392,trtllm,1.0.0,a100_sxm,0.0,167.44
Qwen/Qwen3-32B,4000,1000,0,52,2.621,1,1,4,52,52,1,1908.81,18.271,20161.539,2.621,0.164,2621.08,163.818,54.733,0.943,2.849,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,20.781,trtllm,1.0.0,a100_sxm,0.0,163.818
Qwen/Qwen3-32B,4000,1000,0,48,2.518,1,1,4,48,48,1,1908.81,17.557,19448.253,2.518,0.157,2518.04,157.378,56.958,0.943,2.737,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,20.171,trtllm,1.0.0,a100_sxm,0.0,157.378
Qwen/Qwen3-32B,4000,1000,0,40,2.233,1,1,4,40,40,1,1908.81,16.496,18388.314,2.233,0.14,2232.84,139.552,60.619,0.943,2.427,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,18.95,trtllm,1.0.0,a100_sxm,0.0,139.552
Qwen/Qwen3-32B,4000,1000,0,36,2.076,1,1,4,36,36,1,1908.81,15.966,17858.844,2.076,0.13,2076.44,129.778,62.633,0.943,2.257,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,18.34,trtllm,1.0.0,a100_sxm,0.0,129.778
Qwen/Qwen3-32B,4000,1000,0,28,1.767,1,1,4,28,28,1,1908.81,14.59,16484.22,1.767,0.11,1767.32,110.458,68.539,0.943,1.921,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,17.119,trtllm,1.0.0,a100_sxm,0.0,110.458
Qwen/Qwen3-32B,4000,1000,0,24,1.605,1,1,4,24,24,1,1908.81,13.769,15664.041,1.605,0.1,1605.4,100.338,72.627,0.943,1.745,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,16.509,trtllm,1.0.0,a100_sxm,0.0,100.338
Qwen/Qwen3-32B,4000,1000,0,20,1.419,1,1,4,20,20,1,1908.81,12.985,14880.825,1.419,0.089,1418.64,88.665,77.012,0.943,1.542,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,15.899,trtllm,1.0.0,a100_sxm,0.0,88.665
