model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B,2048,512,0,384,12.826,1,1,5,128,128,3,579.748,53.907,28126.225,12.826,0.802,6566.769,410.423,18.551,3.105,4.647,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,75.138,trtllm,1.0.0,a100_sxm,0.0,410.423
Qwen/Qwen3-32B,2048,512,0,324,11.838,1,1,5,108,108,3,579.748,49.275,25759.273,11.838,0.74,6060.872,378.804,20.294,3.105,4.289,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,68.888,trtllm,1.0.0,a100_sxm,0.0,378.804
Qwen/Qwen3-32B,2048,512,0,208,11.178,1,1,4,208,208,1,579.748,29.682,15747.25,11.178,0.699,5723.136,357.696,33.691,3.105,13.714,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,29.097,trtllm,1.0.0,a100_sxm,0.0,357.696
Qwen/Qwen3-32B,2048,512,0,72,5.192,1,1,2,72,72,1,579.748,24.968,13338.396,5.192,0.649,2658.079,332.26,40.052,3.105,5.643,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,31.544,trtllm,1.0.0,a100_sxm,0.0,332.26
Qwen/Qwen3-32B,2048,512,0,64,6.064,1,1,4,64,64,1,579.748,19.001,10289.259,6.064,0.379,3104.625,194.039,52.628,3.105,6.591,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,17.847,trtllm,1.0.0,a100_sxm,0.0,194.039
Qwen/Qwen3-32B,2048,512,0,60,5.974,1,1,4,60,60,1,579.748,18.081,9819.139,5.974,0.373,3058.934,191.183,55.308,3.105,6.494,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,17.534,trtllm,1.0.0,a100_sxm,0.0,191.183
Qwen/Qwen3-32B,2048,512,0,56,5.875,1,1,4,56,56,1,579.748,17.16,9348.508,5.875,0.367,3008.061,188.004,58.276,3.105,6.386,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,17.222,trtllm,1.0.0,a100_sxm,0.0,188.004
Qwen/Qwen3-32B,2048,512,0,52,5.766,1,1,4,52,52,1,579.748,16.239,8877.877,5.766,0.36,2952.008,184.5,61.58,3.105,6.267,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,16.909,trtllm,1.0.0,a100_sxm,0.0,184.5
Qwen/Qwen3-32B,2048,512,0,48,5.545,1,1,4,48,48,1,579.748,15.586,8544.194,5.545,0.347,2838.958,177.435,64.159,3.105,6.027,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,16.597,trtllm,1.0.0,a100_sxm,0.0,177.435
Qwen/Qwen3-32B,2048,512,0,40,4.916,1,1,4,40,40,1,579.748,14.648,8064.876,4.916,0.307,2517.238,157.327,68.269,3.105,5.344,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,15.972,trtllm,1.0.0,a100_sxm,0.0,157.327
