model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B,2048,512,0,288,6.008,1,1,4,96,96,3,1078.319,84.072,44039.111,6.008,0.376,3076.301,192.269,11.895,1.669,2.235,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,35.294,trtllm,1.0.0,l40s,0.0,192.269
Qwen/Qwen3-32B,2048,512,0,264,5.942,1,1,4,88,88,3,1078.319,79.993,41954.742,5.942,0.371,3042.447,190.153,12.501,1.669,2.153,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,34.044,trtllm,1.0.0,l40s,0.0,190.153
Qwen/Qwen3-32B,2048,512,0,228,5.578,1,1,4,76,76,3,1078.319,73.599,38687.408,5.578,0.349,2855.916,178.495,13.587,1.669,2.021,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,32.169,trtllm,1.0.0,l40s,0.0,178.495
Qwen/Qwen3-32B,2048,512,0,204,5.324,1,1,4,68,68,3,1078.319,68.969,36321.478,5.324,0.333,2725.908,170.369,14.499,1.669,1.929,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,30.919,trtllm,1.0.0,l40s,0.0,170.369
Qwen/Qwen3-32B,2048,512,0,180,5.012,1,1,4,60,60,3,1078.319,64.648,34113.447,5.012,0.313,2566.226,160.389,15.468,1.669,1.816,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,29.669,trtllm,1.0.0,l40s,0.0,160.389
Qwen/Qwen3-32B,2048,512,0,144,4.422,1,1,4,48,48,3,1078.319,58.633,31039.782,4.422,0.276,2263.818,141.489,17.055,1.669,1.602,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,27.794,trtllm,1.0.0,l40s,0.0,141.489
Qwen/Qwen3-32B,2048,512,0,120,3.966,1,1,4,40,40,3,1078.319,54.483,28919.132,3.966,0.248,2030.653,126.916,18.354,1.669,1.437,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,26.544,trtllm,1.0.0,l40s,0.0,126.916
Qwen/Qwen3-32B,2048,512,0,90,3.284,1,1,4,30,30,3,1078.319,49.321,26281.35,3.284,0.205,1681.613,105.101,20.275,1.669,1.19,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,24.981,trtllm,1.0.0,l40s,0.0,105.101
Qwen/Qwen3-32B,2048,512,0,66,2.685,1,1,4,22,22,3,1078.319,44.264,23697.223,2.685,0.168,1374.966,85.935,22.592,1.669,0.973,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,23.731,trtllm,1.0.0,l40s,0.0,85.935
Qwen/Qwen3-32B,2048,512,0,48,2.186,1,1,4,16,16,3,1078.319,39.548,21287.347,2.186,0.137,1119.191,69.949,25.286,1.669,0.792,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,22.794,trtllm,1.0.0,l40s,0.0,69.949
Qwen/Qwen3-32B,2048,512,0,30,1.579,1,1,4,10,10,3,1078.319,34.218,18563.717,1.579,0.099,808.305,50.519,29.224,1.669,0.572,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,21.856,trtllm,1.0.0,l40s,0.0,50.519
Qwen/Qwen3-32B,2048,512,0,9,0.549,1,1,4,3,3,3,1078.319,29.429,16116.538,0.549,0.034,281.211,17.576,33.98,1.669,0.199,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,20.762,trtllm,1.0.0,l40s,0.0,17.576
Qwen/Qwen3-32B,2048,512,0,4,0.248,1,1,8,4,4,1,1078.319,28.95,15871.769,0.248,0.016,127.181,7.949,34.542,1.669,0.27,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.0.0,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,13.159,trtllm,1.0.0,l40s,0.0,7.949
Qwen/Qwen3-32B,2048,512,0,2,0.168,1,1,8,2,2,1,1078.319,21.381,12004.01,0.168,0.011,86.2,5.388,46.77,1.669,0.183,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.0.0,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,13.003,trtllm,1.0.0,l40s,0.0,5.388
Qwen/Qwen3-32B,2048,512,0,1,0.103,1,1,8,1,1,1,1078.319,17.527,10034.616,0.103,0.006,52.756,3.297,57.054,1.669,0.112,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.0.0,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,12.925,trtllm,1.0.0,l40s,0.0,3.297
