model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B,2048,512,0,152,2.247,1,1,2,152,152,1,925.61,121.81,63170.52,2.247,0.281,1150.28,143.785,8.21,1.945,2.442,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,44.044,trtllm,1.0.0,l40s,0.0,143.785
Qwen/Qwen3-32B,2048,512,0,144,2.232,1,1,2,144,144,1,925.61,116.172,60289.502,2.232,0.279,1142.743,142.843,8.608,1.945,2.426,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,42.794,trtllm,1.0.0,l40s,0.0,142.843
Qwen/Qwen3-32B,2048,512,0,136,2.215,1,1,2,136,136,1,925.61,110.535,57408.995,2.215,0.277,1134.264,141.783,9.047,1.945,2.408,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,41.544,trtllm,1.0.0,l40s,0.0,141.783
Qwen/Qwen3-32B,2048,512,0,128,2.197,1,1,2,128,128,1,925.61,104.897,54527.977,2.197,0.275,1124.844,140.605,9.533,1.945,2.388,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,40.294,trtllm,1.0.0,l40s,0.0,140.605
Qwen/Qwen3-32B,2048,512,0,120,2.174,1,1,2,120,120,1,925.61,99.372,51704.702,2.174,0.272,1113.068,139.133,10.063,1.945,2.363,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,39.044,trtllm,1.0.0,l40s,0.0,139.133
Qwen/Qwen3-32B,2048,512,0,112,2.148,1,1,2,112,112,1,925.61,93.846,48880.916,2.148,0.269,1099.878,137.485,10.656,1.945,2.335,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,37.794,trtllm,1.0.0,l40s,0.0,137.485
Qwen/Qwen3-32B,2048,512,0,104,2.12,1,1,2,104,104,1,925.61,88.321,46057.641,2.12,0.265,1085.276,135.66,11.322,1.945,2.304,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,36.544,trtllm,1.0.0,l40s,0.0,135.66
Qwen/Qwen3-32B,2048,512,0,96,2.056,1,1,2,96,96,1,925.61,84.072,43886.402,2.056,0.257,1052.774,131.597,11.895,1.945,2.235,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,35.294,trtllm,1.0.0,l40s,0.0,131.597
Qwen/Qwen3-32B,2048,512,0,88,1.981,1,1,2,88,88,1,925.61,79.993,41802.033,1.981,0.248,1014.149,126.769,12.501,1.945,2.153,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,34.044,trtllm,1.0.0,l40s,0.0,126.769
Qwen/Qwen3-32B,2048,512,0,150,3.8,1,1,3,30,30,5,925.61,71.104,37259.754,3.8,0.237,1945.395,121.587,14.064,1.945,0.826,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,44.513,trtllm,1.0.0,l40s,0.0,121.587
