model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B,512,128,0,80,5.312,80,80,584.623,116.976,15440.624,5.312,2.656,674.612,337.306,8.549,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,41.388,0.625,1.0,79.0,591.0,512,79.0,trtllm,1.0.0,l40s,0.0,337.306
Qwen/Qwen3-32B,512,128,0,64,4.835,64,64,567.171,102.483,13582.458,4.835,2.418,614.097,307.048,9.758,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,40.138,0.5,1.0,63.0,575.0,512,63.0,trtllm,1.0.0,l40s,0.0,307.048
Qwen/Qwen3-32B,512,128,0,56,4.508,56,56,558.444,96.031,12754.359,4.508,2.254,572.501,286.25,10.413,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,39.513,0.438,1.0,55.0,567.0,512,55.0,trtllm,1.0.0,l40s,0.0,286.25
Qwen/Qwen3-32B,512,128,0,48,4.13,48,48,549.718,89.672,11938.116,4.13,2.065,524.552,262.276,11.152,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,38.888,0.375,1.0,47.0,559.0,512,47.0,trtllm,1.0.0,l40s,0.0,262.276
Qwen/Qwen3-32B,512,128,0,40,3.717,40,40,520.705,82.852,11042.956,3.717,1.858,472.018,236.009,12.07,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,38.263,0.312,1.0,39.0,551.0,512,39.0,trtllm,1.0.0,l40s,0.0,236.009
Qwen/Qwen3-32B,512,128,0,32,3.23,32,32,459.079,76.057,10118.354,3.23,1.615,410.242,205.121,13.148,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,37.638,0.25,1.0,31.0,543.0,512,31.0,trtllm,1.0.0,l40s,0.0,205.121
Qwen/Qwen3-32B,512,128,0,28,2.972,28,28,428.921,72.202,9598.617,2.972,1.486,377.446,188.723,13.85,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,37.326,0.219,1.0,27.0,539.0,512,27.0,trtllm,1.0.0,l40s,0.0,188.723
Qwen/Qwen3-32B,512,128,0,24,2.689,24,24,399.199,68.27,9069.548,2.689,1.344,341.457,170.728,14.648,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,37.013,0.188,1.0,23.0,535.0,512,23.0,trtllm,1.0.0,l40s,0.0,170.728
Qwen/Qwen3-32B,512,128,0,20,2.376,20,20,369.913,64.233,8527.452,2.376,1.188,301.718,150.859,15.568,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,36.701,0.156,1.0,19.0,531.0,512,19.0,trtllm,1.0.0,l40s,0.0,150.859
Qwen/Qwen3-32B,512,128,0,16,2.024,16,16,341.096,60.156,7980.92,2.024,1.012,257.031,128.516,16.623,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,36.388,0.125,1.0,15.0,527.0,512,15.0,trtllm,1.0.0,l40s,0.0,128.516
Qwen/Qwen3-32B,512,128,0,16,1.957,16,16,538.132,59.677,8117.13,1.957,0.978,248.497,124.249,16.757,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,36.423,0.062,2.0,14.0,1038.0,1024,14.0,trtllm,1.0.0,l40s,0.0,124.249
Qwen/Qwen3-32B,512,128,0,15,1.924,15,15,333.984,59.287,7863.404,1.924,0.962,244.349,122.175,16.867,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,36.31,0.117,1.0,14.0,526.0,512,14.0,trtllm,1.0.0,l40s,0.0,122.175
Qwen/Qwen3-32B,512,128,0,14,1.821,14,14,326.897,58.418,7745.921,1.821,0.911,231.306,115.653,17.118,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,36.232,0.109,1.0,13.0,525.0,512,13.0,trtllm,1.0.0,l40s,0.0,115.653
Qwen/Qwen3-32B,512,128,0,14,1.767,14,14,524.902,57.666,7848.441,1.767,0.883,224.382,112.191,17.341,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,36.266,0.055,2.0,12.0,1036.0,1024,12.0,trtllm,1.0.0,l40s,0.0,112.191
Qwen/Qwen3-32B,512,128,0,13,1.716,13,13,319.836,57.548,7628.472,1.716,0.858,217.886,108.943,17.377,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,36.154,0.102,1.0,12.0,524.0,512,12.0,trtllm,1.0.0,l40s,0.0,108.943
Qwen/Qwen3-32B,512,128,0,13,1.647,13,13,524.267,57.408,7815.057,1.647,0.824,209.229,104.614,17.419,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,36.188,0.051,2.0,11.0,1035.0,1024,11.0,trtllm,1.0.0,l40s,0.0,104.614
Qwen/Qwen3-32B,512,128,0,12,1.607,12,12,312.801,56.676,7510.67,1.607,0.803,204.083,102.042,17.644,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,36.076,0.094,1.0,11.0,523.0,512,11.0,trtllm,1.0.0,l40s,0.0,102.042
