model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B,512,128,0,372,32.4,1,1,5,124,124,3,246.733,83.175,10809.958,32.4,2.025,4147.154,259.197,12.023,7.295,11.739,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.201,trtllm,1.0.0,l40s,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,44.826,trtllm,1.0.0,l40s,0.0,259.197
Qwen/Qwen3-32B,512,128,0,300,27.374,1,1,5,100,100,3,246.733,79.388,10329.009,27.374,1.711,3503.831,218.989,12.596,7.295,9.918,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.201,trtllm,1.0.0,l40s,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,42.951,trtllm,1.0.0,l40s,0.0,218.989
Qwen/Qwen3-32B,512,128,0,76,6.566,1,1,1,76,76,1,246.733,74.186,9668.355,6.566,1.641,840.384,210.096,13.48,7.295,8.067,4,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.201,trtllm,1.0.0,l40s,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,41.076,trtllm,1.0.0,l40s,0.0,210.096
Qwen/Qwen3-32B,512,128,0,60,6.256,1,1,1,60,60,1,246.733,69.481,9070.82,6.256,1.564,800.768,200.192,14.392,7.295,6.8,4,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.201,trtllm,1.0.0,l40s,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,39.826,trtllm,1.0.0,l40s,0.0,200.192
Qwen/Qwen3-32B,512,128,0,180,19.696,1,1,3,36,36,5,246.733,64.519,8440.646,19.696,1.231,2521.152,157.572,15.499,7.295,4.394,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.201,trtllm,1.0.0,l40s,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,37.951,trtllm,1.0.0,l40s,0.0,157.572
Qwen/Qwen3-32B,512,128,0,68,8.301,1,1,2,68,68,1,246.733,59.344,7783.421,8.301,1.038,1062.548,132.819,16.851,7.295,9.023,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.201,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,22.95,trtllm,1.0.0,l40s,0.0,132.819
Qwen/Qwen3-32B,512,128,0,56,7.414,1,1,2,56,56,1,246.733,54.716,7195.665,7.414,0.927,949.028,118.628,18.276,7.295,8.059,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.201,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,22.481,trtllm,1.0.0,l40s,0.0,118.628
Qwen/Qwen3-32B,512,128,0,84,13.131,1,1,2,28,28,3,246.733,44.37,5881.723,13.131,0.821,1680.768,105.048,22.538,7.295,4.969,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.201,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,21.387,trtllm,1.0.0,l40s,0.0,105.048
Qwen/Qwen3-32B,512,128,0,60,10.883,1,1,2,20,20,3,246.733,39.936,5318.605,10.883,0.68,1392.983,87.061,25.04,7.295,3.943,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.201,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,21.075,trtllm,1.0.0,l40s,0.0,87.061
Qwen/Qwen3-32B,512,128,0,36,7.551,1,1,2,12,12,3,246.733,34.535,4632.678,7.551,0.472,966.574,60.411,28.956,7.295,2.736,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.201,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,20.762,trtllm,1.0.0,l40s,0.0,60.411
