model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B,2048,512,0,128,4.275,1,1,3,128,128,1,925.61,53.907,28472.087,4.275,0.534,2188.923,273.615,18.551,1.945,4.647,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,75.138,trtllm,1.0.0,a100_sxm,0.0,273.615
Qwen/Qwen3-32B,2048,512,0,108,3.946,1,1,3,108,108,1,925.61,49.275,26105.135,3.946,0.493,2020.291,252.536,20.294,1.945,4.289,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,68.888,trtllm,1.0.0,a100_sxm,0.0,252.536
Qwen/Qwen3-32B,2048,512,0,88,3.524,1,1,3,88,88,1,925.61,44.968,23904.258,3.524,0.44,1804.083,225.51,22.238,1.945,3.83,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,62.638,trtllm,1.0.0,a100_sxm,0.0,225.51
Qwen/Qwen3-32B,2048,512,0,72,3.501,1,1,2,72,72,1,925.61,24.968,13684.258,3.501,0.438,1792.512,224.064,40.052,1.945,5.643,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,31.544,trtllm,1.0.0,a100_sxm,0.0,224.064
Qwen/Qwen3-32B,2048,512,0,28,2.553,1,1,2,28,28,1,925.61,19.743,11014.283,2.553,0.319,1307.136,163.392,50.651,1.945,2.775,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,24.669,trtllm,1.0.0,a100_sxm,0.0,163.392
Qwen/Qwen3-32B,2048,512,0,24,2.277,1,1,2,24,24,1,925.61,18.979,10623.879,2.277,0.285,1165.824,145.728,52.689,1.945,2.475,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,24.044,trtllm,1.0.0,a100_sxm,0.0,145.728
Qwen/Qwen3-32B,2048,512,0,18,1.816,1,1,2,18,18,1,925.61,17.843,10043.383,1.816,0.227,929.833,116.229,56.046,1.945,1.974,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,23.106,trtllm,1.0.0,a100_sxm,0.0,116.229
Qwen/Qwen3-32B,2048,512,0,13,1.383,1,1,2,13,13,1,925.61,16.929,9576.329,1.383,0.173,707.973,88.497,59.069,1.945,1.503,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,22.325,trtllm,1.0.0,a100_sxm,0.0,88.497
Qwen/Qwen3-32B,2048,512,0,7,0.794,1,1,2,7,7,1,925.61,15.872,9036.202,0.794,0.099,406.508,50.813,63.005,1.945,0.863,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,21.387,trtllm,1.0.0,a100_sxm,0.0,50.813
Qwen/Qwen3-32B,2048,512,0,1,0.122,1,1,2,1,1,1,925.61,14.744,8459.794,0.122,0.015,62.648,7.831,67.824,1.945,0.133,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,20.45,trtllm,1.0.0,a100_sxm,0.0,7.831
