model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B,2048,512,0,540,19.256,1,1,11,108,108,5,925.61,49.275,26105.135,19.256,0.602,9858.816,308.088,20.294,1.945,4.289,32,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,68.888,trtllm,1.0.0,a100_sxm,0.0,308.088
Qwen/Qwen3-32B,2048,512,0,324,17.505,1,1,10,108,108,3,925.61,29.693,16098.733,17.505,0.547,8962.56,280.08,33.678,1.945,7.118,32,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,37.169,trtllm,1.0.0,a100_sxm,0.0,280.08
Qwen/Qwen3-32B,2048,512,0,216,15.575,1,1,10,72,72,3,925.61,24.968,13684.258,15.575,0.487,7974.236,249.195,40.052,1.945,5.643,32,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,31.544,trtllm,1.0.0,a100_sxm,0.0,249.195
Qwen/Qwen3-32B,2048,512,0,64,6.064,1,1,4,64,64,1,925.61,19.001,10635.121,6.064,0.379,3104.625,194.039,52.628,1.945,6.591,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,17.847,trtllm,1.0.0,a100_sxm,0.0,194.039
Qwen/Qwen3-32B,2048,512,0,60,5.974,1,1,4,60,60,1,925.61,18.081,10165.001,5.974,0.373,3058.934,191.183,55.308,1.945,6.494,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,17.534,trtllm,1.0.0,a100_sxm,0.0,191.183
Qwen/Qwen3-32B,2048,512,0,56,5.875,1,1,4,56,56,1,925.61,17.16,9694.37,5.875,0.367,3008.061,188.004,58.276,1.945,6.386,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,17.222,trtllm,1.0.0,a100_sxm,0.0,188.004
Qwen/Qwen3-32B,2048,512,0,52,5.766,1,1,4,52,52,1,925.61,16.239,9223.739,5.766,0.36,2952.008,184.5,61.58,1.945,6.267,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,16.909,trtllm,1.0.0,a100_sxm,0.0,184.5
Qwen/Qwen3-32B,2048,512,0,48,5.545,1,1,4,48,48,1,925.61,15.586,8890.056,5.545,0.347,2838.958,177.435,64.159,1.945,6.027,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,16.597,trtllm,1.0.0,a100_sxm,0.0,177.435
Qwen/Qwen3-32B,2048,512,0,40,4.916,1,1,4,40,40,1,925.61,14.648,8410.738,4.916,0.307,2517.238,157.327,68.269,1.945,5.344,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,15.972,trtllm,1.0.0,a100_sxm,0.0,157.327
Qwen/Qwen3-32B,2048,512,0,52,7.002,1,1,4,26,26,2,925.61,12.81,7471.52,7.002,0.292,3585.024,149.376,78.063,1.945,3.972,24,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,14.878,trtllm,1.0.0,a100_sxm,0.0,112.03200000000001
