model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B,2048,512,0,320,5.847,320,320,591.955,106.641,55085.531,5.847,2.924,2988.071,1494.036,9.377,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,135.305,0.625,1.0,319.0,2367.0,2048,319.0,trtllm,1.2.0rc5,h200_sxm,0.0,1494.036
Qwen/Qwen3-32B,2048,512,0,288,5.833,288,288,576.806,96.151,49709.941,5.833,2.917,2980.712,1490.356,10.4,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,125.302,0.562,1.0,287.0,2335.0,2048,287.0,trtllm,1.2.0rc5,h200_sxm,0.0,1490.356
Qwen/Qwen3-32B,2048,512,0,256,5.811,256,256,561.674,85.717,44362.994,5.811,2.906,2969.639,1484.82,11.666,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,115.298,0.5,1.0,255.0,2303.0,2048,255.0,trtllm,1.2.0rc5,h200_sxm,0.0,1484.82
Qwen/Qwen3-32B,2048,512,0,240,5.788,240,240,554.379,80.65,41766.726,5.788,2.894,2957.545,1478.772,12.399,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,110.297,0.469,1.0,239.0,2287.0,2048,239.0,trtllm,1.2.0rc5,h200_sxm,0.0,1478.772
Qwen/Qwen3-32B,2048,512,0,112,2.893,112,112,908.825,74.715,39087.996,2.893,2.893,1478.429,1478.429,13.384,1,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,134.885,0.219,1.0,111.0,2159.0,2048,111.0,trtllm,1.2.0rc5,h200_sxm,0.0,1478.429
Qwen/Qwen3-32B,2048,512,0,208,5.725,208,208,539.789,70.579,36605.7,5.725,2.863,2925.659,1462.829,14.169,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,100.294,0.406,1.0,207.0,2255.0,2048,207.0,trtllm,1.2.0rc5,h200_sxm,0.0,1462.829
Qwen/Qwen3-32B,2048,512,0,192,5.684,192,192,532.494,65.581,34044.145,5.684,2.842,2904.452,1452.226,15.248,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,95.292,0.375,1.0,191.0,2239.0,2048,191.0,trtllm,1.2.0rc5,h200_sxm,0.0,1452.226
Qwen/Qwen3-32B,2048,512,0,176,5.622,176,176,525.199,60.729,31557.773,5.622,2.811,2872.894,1436.447,16.467,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,90.29,0.344,1.0,175.0,2223.0,2048,175.0,trtllm,1.2.0rc5,h200_sxm,0.0,1436.447
Qwen/Qwen3-32B,2048,512,0,160,5.546,160,160,517.904,55.911,29088.409,5.546,2.773,2834.253,1417.126,17.886,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,85.289,0.312,1.0,159.0,2207.0,2048,159.0,trtllm,1.2.0rc5,h200_sxm,0.0,1417.126
Qwen/Qwen3-32B,2048,512,0,144,5.47,144,144,510.609,50.972,26557.401,5.47,2.735,2794.916,1397.458,19.619,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,80.287,0.281,1.0,143.0,2191.0,2048,143.0,trtllm,1.2.0rc5,h200_sxm,0.0,1397.458
