model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B,2048,512,0,792,40.698,1,1,10,264,264,3,398.092,34.967,18266.229,40.698,2.544,20837.376,1302.336,28.598,4.522,14.775,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,117.638,trtllm,1.2.0rc5,h200_sxm,0.0,1302.336
Qwen/Qwen3-32B,2048,512,0,624,38.411,1,1,10,208,208,3,398.092,29.248,15343.82,38.411,2.401,19666.391,1229.149,34.191,4.522,13.917,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,100.138,trtllm,1.2.0rc5,h200_sxm,0.0,1229.149
Qwen/Qwen3-32B,2048,512,0,480,34.743,1,1,10,160,160,3,398.092,24.874,13108.706,34.743,2.171,17788.355,1111.772,40.203,4.522,12.588,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,85.138,trtllm,1.2.0rc5,h200_sxm,0.0,1111.772
Qwen/Qwen3-32B,2048,512,0,144,16.279,1,1,4,144,144,1,398.092,15.721,8431.523,16.279,2.035,8334.95,1041.869,63.61,4.522,17.925,8,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,42.794,trtllm,1.2.0rc5,h200_sxm,0.0,1041.869
Qwen/Qwen3-32B,2048,512,0,128,15.654,1,1,4,128,128,1,398.092,14.722,7921.034,15.654,1.957,8014.746,1001.843,67.927,4.522,17.015,8,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,40.294,trtllm,1.2.0rc5,h200_sxm,0.0,1001.843
Qwen/Qwen3-32B,2048,512,0,104,13.423,1,1,4,104,104,1,398.092,13.949,7526.031,13.423,1.678,6872.474,859.059,71.689,4.522,14.59,8,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,36.544,trtllm,1.2.0rc5,h200_sxm,0.0,859.059
Qwen/Qwen3-32B,2048,512,0,176,22.812,1,1,8,176,176,1,398.092,13.89,7495.882,22.812,1.426,11679.908,729.994,71.992,4.522,24.796,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,26.597,trtllm,1.2.0rc5,h200_sxm,0.0,729.994
Qwen/Qwen3-32B,2048,512,0,76,10.602,1,1,4,76,76,1,398.092,12.906,6993.058,10.602,1.325,5428.265,678.533,77.486,4.522,11.524,8,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,32.169,trtllm,1.2.0rc5,h200_sxm,0.0,678.533
Qwen/Qwen3-32B,2048,512,0,144,20.368,1,1,8,144,144,1,398.092,12.729,6902.611,20.368,1.273,10428.355,651.772,78.563,4.522,22.139,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,24.097,trtllm,1.2.0rc5,h200_sxm,0.0,651.772
Qwen/Qwen3-32B,2048,512,0,128,19.229,1,1,8,128,128,1,398.092,11.985,6522.427,19.229,1.202,9845.207,615.325,83.439,4.522,20.901,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,22.847,trtllm,1.2.0rc5,h200_sxm,0.0,615.325
Qwen/Qwen3-32B,2048,512,0,108,16.279,1,1,4,36,36,3,398.092,10.842,5938.354,16.279,1.017,8334.95,520.934,92.233,4.522,6.498,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,25.919,trtllm,1.2.0rc5,h200_sxm,0.0,520.934
Qwen/Qwen3-32B,2048,512,0,72,13.15,1,1,8,72,72,1,398.092,9.858,5435.53,13.15,0.822,6732.575,420.786,101.442,4.522,14.293,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,18.472,trtllm,1.2.0rc5,h200_sxm,0.0,420.786
Qwen/Qwen3-32B,2048,512,0,48,9.857,1,1,8,48,48,1,398.092,8.767,4878.029,9.857,0.616,5046.723,315.42,114.058,4.522,10.714,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,16.597,trtllm,1.2.0rc5,h200_sxm,0.0,315.42
Qwen/Qwen3-32B,2048,512,0,36,8.217,1,1,8,36,36,1,398.092,7.887,4428.349,8.217,0.514,4207.329,262.958,126.791,4.522,8.932,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,15.659,trtllm,1.2.0rc5,h200_sxm,0.0,262.958
Qwen/Qwen3-32B,2048,512,0,22,5.749,1,1,8,22,22,1,398.092,6.889,3918.371,5.749,0.359,2943.529,183.971,145.155,4.522,6.249,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,14.566,trtllm,1.2.0rc5,h200_sxm,0.0,183.971
Qwen/Qwen3-32B,2048,512,0,10,3.044,1,1,8,10,10,1,398.092,5.913,3419.635,3.044,0.19,1558.671,97.417,169.114,4.522,3.309,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,13.628,trtllm,1.2.0rc5,h200_sxm,0.0,97.417
