model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B,2048,512,0,320,4.747,320,320,698.123,131.411,67849.165,4.747,2.373,2425.688,1212.844,7.61,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,135.305,0.625,1.0,319.0,2367.0,2048,319.0,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,1212.844
Qwen/Qwen3-32B,2048,512,0,288,4.727,288,288,674.554,118.696,61328.247,4.727,2.364,2415.67,1207.835,8.425,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,125.302,0.562,1.0,287.0,2335.0,2048,287.0,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,1207.835
Qwen/Qwen3-32B,2048,512,0,256,4.698,256,256,650.985,106.085,54860.462,4.698,2.349,2400.93,1200.465,9.426,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,115.298,0.5,1.0,255.0,2303.0,2048,255.0,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,1200.465
Qwen/Qwen3-32B,2048,512,0,240,4.673,240,240,639.2,99.969,51723.146,4.673,2.336,2387.692,1193.846,10.003,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,110.297,0.469,1.0,239.0,2287.0,2048,239.0,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,1193.846
Qwen/Qwen3-32B,2048,512,0,224,4.641,224,224,627.416,93.896,48608.131,4.641,2.321,2371.648,1185.824,10.65,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,105.295,0.438,1.0,223.0,2271.0,2048,223.0,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,1185.824
Qwen/Qwen3-32B,2048,512,0,208,4.603,208,208,615.631,87.867,45515.417,4.603,2.302,2352.245,1176.122,11.381,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,100.294,0.406,1.0,207.0,2255.0,2048,207.0,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,1176.122
Qwen/Qwen3-32B,2048,512,0,192,4.557,192,192,603.847,81.887,42448.234,4.557,2.278,2328.598,1164.299,12.212,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,95.292,0.375,1.0,191.0,2239.0,2048,191.0,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,1164.299
Qwen/Qwen3-32B,2048,512,0,176,4.501,176,176,592.062,75.957,39405.864,4.501,2.25,2299.804,1149.902,13.165,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,90.29,0.344,1.0,175.0,2223.0,2048,175.0,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,1149.902
Qwen/Qwen3-32B,2048,512,0,160,4.432,160,160,580.277,70.071,36386.327,4.432,2.216,2264.75,1132.375,14.271,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,85.289,0.312,1.0,159.0,2207.0,2048,159.0,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,1132.375
Qwen/Qwen3-32B,2048,512,0,144,4.347,144,144,568.493,64.238,33394.081,4.347,2.174,2221.506,1110.753,15.567,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,80.287,0.281,1.0,143.0,2191.0,2048,143.0,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,1110.753
Qwen/Qwen3-32B,2048,512,0,128,4.243,128,128,556.708,58.451,30425.055,4.243,2.121,2168.055,1084.027,17.108,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,75.286,0.25,1.0,127.0,2175.0,2048,127.0,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,1084.027
Qwen/Qwen3-32B,2048,512,0,112,4.112,112,112,544.924,52.709,27479.25,4.112,2.056,2101.213,1050.606,18.972,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,70.284,0.219,1.0,111.0,2159.0,2048,111.0,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,1050.606
Qwen/Qwen3-32B,2048,512,0,208,7.949,208,208,359.602,50.881,26359.575,7.949,1.987,4061.768,1015.442,19.654,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,52.897,0.406,1.0,207.0,2255.0,2048,207.0,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,1015.442
