model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster,replicas,p_gpus_worker,d_gpus_worker,used_gpus
Qwen/Qwen3-32B,2048,512,0,304,15.631,1,1,4,304,304,1,414.554,34.945,18271.449,15.631,1.954,8003.174,1000.397,28.616,4.342,17.024,8,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm_halfbw,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,67.794,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,1000.397,1.0,1,4,8
Qwen/Qwen3-32B,2048,512,0,248,14.998,1,1,4,248,248,1,414.554,29.771,15627.535,14.998,1.875,7678.894,959.862,33.589,4.342,16.302,8,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm_halfbw,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,59.044,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,959.862,1.0,1,4,8
Qwen/Qwen3-32B,2048,512,0,184,13.562,1,1,4,184,184,1,414.554,24.427,12896.751,13.562,1.695,6943.601,867.95,40.938,4.342,14.741,8,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm_halfbw,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,49.044,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,867.95,1.0,1,4,8
Qwen/Qwen3-32B,2048,512,0,264,24.12,1,1,8,264,264,1,414.554,19.706,10484.32,24.12,1.507,12349.256,771.828,50.746,4.342,26.217,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm_halfbw,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,33.472,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,771.828,1.0,1,8,16
Qwen/Qwen3-32B,2048,512,0,128,11.826,1,1,4,128,128,1,414.554,19.487,10372.411,11.826,1.478,6054.748,756.844,51.316,4.342,12.854,8,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm_halfbw,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,40.294,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,756.844,1.0,1,4,8
Qwen/Qwen3-32B,2048,512,0,248,23.621,1,1,8,248,248,1,414.554,18.903,10073.987,23.621,1.476,12093.952,755.872,52.903,4.342,25.675,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm_halfbw,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,32.222,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,755.872,1.0,1,8,16
Qwen/Qwen3-32B,2048,512,0,224,22.615,1,1,8,224,224,1,414.554,17.833,9527.217,22.615,1.413,11578.634,723.665,56.076,4.342,24.581,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm_halfbw,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,30.347,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,723.665,1.0,1,8,16
Qwen/Qwen3-32B,2048,512,0,200,21.488,1,1,8,200,200,1,414.554,16.757,8977.381,21.488,1.343,11001.61,687.601,59.676,4.342,23.356,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm_halfbw,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,28.472,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,687.601,1.0,1,8,16
Qwen/Qwen3-32B,2048,512,0,176,20.189,1,1,8,176,176,1,414.554,15.695,8434.699,20.189,1.262,10336.973,646.061,63.715,4.342,21.945,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm_halfbw,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,26.597,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,646.061,1.0,1,8,16
Qwen/Qwen3-32B,2048,512,0,160,19.205,1,1,8,160,160,1,414.554,14.999,8079.043,19.205,1.2,9832.96,614.56,66.669,4.342,20.875,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,65.367,trtllm,1.2.0rc5,h200_sxm_halfbw,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,25.347,trtllm,1.2.0rc5,h200_sxm_halfbw,0.0,614.56,1.0,1,8,16
