model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
moonshotai/Kimi-K2.5,4000,500,0,24,0.78,24,24,1400.033,59.125,30903.381,0.78,0.049,389.309,24.332,16.913,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,139.468,0.048,1.0,23.0,4023.0,4000,23.0,vllm,0.12.0,h200_sxm,0.0,24.332
moonshotai/Kimi-K2.5,4000,500,0,20,0.706,20,20,1306.445,54.212,28358.039,0.706,0.044,352.421,22.026,18.446,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,137.635,0.04,1.0,19.0,4019.0,4000,19.0,vllm,0.12.0,h200_sxm,0.0,22.026
moonshotai/Kimi-K2.5,4000,500,0,16,0.657,16,16,1212.964,46.272,24302.443,0.657,0.041,327.615,20.476,21.612,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,135.802,0.032,1.0,15.0,4015.0,4000,15.0,vllm,0.12.0,h200_sxm,0.0,20.476
moonshotai/Kimi-K2.5,4000,500,0,15,0.652,15,15,1189.531,43.535,22913.498,0.652,0.041,325.301,20.331,22.97,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,135.344,0.03,1.0,14.0,4014.0,4000,14.0,vllm,0.12.0,h200_sxm,0.0,20.331
moonshotai/Kimi-K2.5,4000,500,0,14,0.647,14,14,1166.119,40.792,21521.126,0.647,0.04,322.749,20.172,24.515,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,134.886,0.028,1.0,13.0,4013.0,4000,13.0,vllm,0.12.0,h200_sxm,0.0,20.172
moonshotai/Kimi-K2.5,4000,500,0,13,0.641,13,13,1142.728,38.041,20125.326,0.641,0.04,319.907,19.994,26.287,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,134.428,0.026,1.0,12.0,4012.0,4000,12.0,vllm,0.12.0,h200_sxm,0.0,19.994
moonshotai/Kimi-K2.5,4000,500,0,12,0.635,12,12,1119.359,35.284,18726.097,0.635,0.04,316.711,19.794,28.341,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,133.969,0.024,1.0,11.0,4011.0,4000,11.0,vllm,0.12.0,h200_sxm,0.0,19.794
moonshotai/Kimi-K2.5,4000,500,0,11,0.627,11,11,1096.01,32.52,17323.441,0.627,0.039,313.077,19.567,30.75,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,133.511,0.022,1.0,10.0,4010.0,4000,10.0,vllm,0.12.0,h200_sxm,0.0,19.567
moonshotai/Kimi-K2.5,4000,500,0,10,0.619,10,10,1072.683,29.749,15917.356,0.619,0.039,308.891,19.306,33.615,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,133.053,0.02,1.0,9.0,4009.0,4000,9.0,vllm,0.12.0,h200_sxm,0.0,19.306
moonshotai/Kimi-K2.5,4000,500,0,9,0.606,9,9,1049.376,27.121,14582.907,0.606,0.038,302.464,18.904,36.871,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,132.594,0.018,1.0,8.0,4008.0,4000,8.0,vllm,0.12.0,h200_sxm,0.0,18.904
moonshotai/Kimi-K2.5,4000,500,0,8,0.572,8,8,1026.014,25.392,13696.384,0.572,0.036,285.396,17.837,39.383,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,132.136,0.016,1.0,7.0,4007.0,4000,7.0,vllm,0.12.0,h200_sxm,0.0,17.837
moonshotai/Kimi-K2.5,4000,500,0,7,0.533,7,7,1002.677,23.668,12813.207,0.533,0.033,266.022,16.626,42.25,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,131.678,0.014,1.0,6.0,4006.0,4000,6.0,vllm,0.12.0,h200_sxm,0.0,16.626
moonshotai/Kimi-K2.5,4000,500,0,6,0.489,6,6,979.364,21.943,11928.832,0.489,0.031,243.967,15.248,45.573,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,131.22,0.012,1.0,5.0,4005.0,4000,5.0,vllm,0.12.0,h200_sxm,0.0,15.248
moonshotai/Kimi-K2.5,4000,500,0,5,0.438,5,5,956.075,20.215,11043.259,0.438,0.027,218.618,13.664,49.469,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,130.761,0.01,1.0,4.0,4004.0,4000,4.0,vllm,0.12.0,h200_sxm,0.0,13.664
moonshotai/Kimi-K2.5,4000,500,0,4,0.379,4,4,932.935,18.479,10153.744,0.379,0.024,189.21,11.826,54.117,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,130.303,0.008,1.0,3.0,4003.0,4000,3.0,vllm,0.12.0,h200_sxm,0.0,11.826
