model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
moonshotai/Kimi-K2.5,4000,500,0,28,1.11,1,1,1,28,28,1,898.373,46.501,24102.372,1.11,0.035,555.22,17.351,21.505,2.004,1.207,32,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,128.878,vllm,0.12.0,h200_sxm,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,140.832,vllm,0.12.0,h200_sxm,0.0,17.351
moonshotai/Kimi-K2.5,4000,500,0,24,0.988,1,1,1,24,24,1,898.373,44.789,23248.084,0.988,0.031,494.04,15.439,22.327,2.004,1.074,32,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,128.878,vllm,0.12.0,h200_sxm,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,139.0,vllm,0.12.0,h200_sxm,0.0,15.439
moonshotai/Kimi-K2.5,4000,500,0,16,0.776,1,1,1,16,16,1,898.373,38.029,19874.844,0.776,0.024,387.78,12.118,26.296,2.004,0.843,32,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,128.878,vllm,0.12.0,h200_sxm,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,135.335,vllm,0.12.0,h200_sxm,0.0,12.118
moonshotai/Kimi-K2.5,4000,500,0,14,0.762,1,1,1,14,14,1,898.373,33.865,17797.008,0.762,0.024,380.88,11.902,29.529,2.004,0.828,32,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,128.878,vllm,0.12.0,h200_sxm,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,134.418,vllm,0.12.0,h200_sxm,0.0,11.902
moonshotai/Kimi-K2.5,4000,500,0,12,0.745,1,1,1,12,12,1,898.373,29.702,15719.671,0.745,0.023,372.6,11.644,33.668,2.004,0.81,32,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,128.878,vllm,0.12.0,h200_sxm,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,133.502,vllm,0.12.0,h200_sxm,0.0,11.644
moonshotai/Kimi-K2.5,4000,500,0,9,0.703,1,1,1,9,9,1,898.373,23.622,12685.751,0.703,0.022,351.44,10.983,42.334,2.004,0.764,32,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,128.878,vllm,0.12.0,h200_sxm,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,132.128,vllm,0.12.0,h200_sxm,0.0,10.983
moonshotai/Kimi-K2.5,4000,500,0,5,0.463,1,1,1,5,5,1,898.373,19.93,10843.443,0.463,0.014,231.38,7.231,50.175,2.004,0.503,32,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,128.878,vllm,0.12.0,h200_sxm,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,130.295,vllm,0.12.0,h200_sxm,0.0,7.231
moonshotai/Kimi-K2.5,4000,500,0,3,0.304,1,1,1,3,3,1,898.373,18.238,9999.135,0.304,0.009,151.8,4.744,54.831,2.004,0.33,32,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,128.878,vllm,0.12.0,h200_sxm,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,129.379,vllm,0.12.0,h200_sxm,0.0,4.744
moonshotai/Kimi-K2.5,4000,500,0,2,0.211,1,1,1,2,2,1,898.373,17.479,9620.394,0.211,0.007,105.34,3.292,57.211,2.004,0.229,32,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,128.878,vllm,0.12.0,h200_sxm,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,128.921,vllm,0.12.0,h200_sxm,0.0,3.292
moonshotai/Kimi-K2.5,4000,500,0,1,0.136,1,1,1,1,1,1,898.373,13.531,7650.342,0.136,0.004,68.08,2.128,73.905,2.004,0.148,32,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,128.878,vllm,0.12.0,h200_sxm,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,128.463,vllm,0.12.0,h200_sxm,0.0,2.128
