framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,12288,5.037644958496093
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,16384,6.680218505859375
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,10240,4.135831451416015
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,12288,9.405802408854168
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,16384,12.770682779947917
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,10240,8.234761555989582
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,8192,3.212261454264323
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,8192,6.381328837076823
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,deepgemm,fp8_block,8192,65536,10240,4.463208516438803
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,7168,5.194019063313802
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,deepgemm,fp8_block,8192,65536,8192,3.7197481791178384
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,7168,2.997458140055339
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,deepgemm,fp8_block,8192,65536,7168,3.1934773763020834
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,6144,4.871229044596354
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,6144,2.6021759033203127
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,deepgemm,fp8_block,8192,65536,6144,2.821226755777995
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,5120,3.631458028157552
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,5120,2.0320191701253254
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,deepgemm,fp8_block,8192,65536,5120,2.3217931111653645
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,4096,2.9030998229980467
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,4096,1.4853407541910806
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,deepgemm,fp8_block,8192,65536,4096,1.8827125549316406
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,4096,1.0994197845458984
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,3584,2.6723604838053387
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,3584,1.315006891886393
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,deepgemm,fp8_block,8192,65536,3584,1.6257695515950519
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,6144,1.6750048319498698
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,3072,2.3118858337402344
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,3072,1.1785205841064452
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,deepgemm,fp8_block,8192,65536,3072,1.4291851043701171
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,5120,1.388375473022461
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,2560,1.954358418782552
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,2560,0.9205386479695639
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,7168,2.007820765177409
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,deepgemm,fp8_block,8192,65536,2560,1.21867307027181
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,2048,1.523864491780599
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,2048,0.8113557179768881
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,deepgemm,fp8_block,8192,65536,2048,1.0410624186197917
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,10240,2.8179712931315106
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,1536,1.0830549875895181
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,1536,0.7080426534016927
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,deepgemm,fp8_block,8192,65536,1536,0.8704277038574219
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,8192,2.289812215169271
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,1024,0.6994026819864909
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,1024,0.4447168032328288
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,deepgemm,fp8_block,8192,65536,1024,0.7305429458618165
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,3584,1.0040224075317383
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,768,0.5357130686442058
