framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
TRTLLM,1.2.0rc5,NVIDIA B200,moe,moe_torch_flow_cutlass,nvfp4,1,7168,2048,8,384,2,16,power_law_1.2,0.06683520078659058
TRTLLM,1.2.0rc5,NVIDIA B200,moe,moe_torch_flow_cutlass,nvfp4,2,7168,2048,8,384,2,16,power_law_1.2,0.09236479997634887
TRTLLM,1.2.0rc5,NVIDIA B200,moe,moe_torch_flow_cutlass,nvfp4,4,7168,2048,8,384,2,16,power_law_1.2,0.09816960096359253
TRTLLM,1.2.0rc5,NVIDIA B200,moe,moe_torch_flow_cutlass,nvfp4,8,7168,2048,8,384,2,16,power_law_1.2,0.10035200119018554
TRTLLM,1.2.0rc5,NVIDIA B200,moe,moe_torch_flow_cutlass,nvfp4,16,7168,2048,8,384,2,16,power_law_1.2,0.10100480318069457
TRTLLM,1.2.0rc5,NVIDIA B200,moe,moe_torch_flow_cutlass,nvfp4,32,7168,2048,8,384,2,16,power_law_1.2,0.09671679735183716
TRTLLM,1.2.0rc5,NVIDIA B200,moe,moe_torch_flow_cutlass,nvfp4,48,7168,2048,8,384,2,16,power_law_1.2,0.08780159950256347
TRTLLM,1.2.0rc5,NVIDIA B200,moe,moe_torch_flow_cutlass,nvfp4,64,7168,2048,8,384,2,16,power_law_1.2,0.10139520168304443
TRTLLM,1.2.0rc5,NVIDIA B200,moe,moe_torch_flow_cutlass,nvfp4,80,7168,2048,8,384,2,16,power_law_1.2,0.09537919759750366
TRTLLM,1.2.0rc5,NVIDIA B200,moe,moe_torch_flow_cutlass,nvfp4,96,7168,2048,8,384,2,16,power_law_1.2,0.096288001537323
TRTLLM,1.2.0rc5,NVIDIA B200,moe,moe_torch_flow_cutlass,nvfp4,128,7168,2048,8,384,2,16,power_law_1.2,0.09326720237731934
TRTLLM,1.2.0rc5,NVIDIA B200,moe,moe_torch_flow_cutlass,nvfp4,160,7168,2048,8,384,2,16,power_law_1.2,0.10113919973373413
TRTLLM,1.2.0rc5,NVIDIA B200,moe,moe_torch_flow_cutlass,nvfp4,192,7168,2048,8,384,2,16,power_law_1.2,0.10325759649276733
TRTLLM,1.2.0rc5,NVIDIA B200,moe,moe_torch_flow_cutlass,nvfp4,256,7168,2048,8,384,2,16,power_law_1.2,0.10501760244369507
TRTLLM,1.2.0rc5,NVIDIA B200,moe,moe_torch_flow_cutlass,nvfp4,320,7168,2048,8,384,2,16,power_law_1.2,0.11403520107269287
TRTLLM,1.2.0rc5,NVIDIA B200,moe,moe_torch_flow_cutlass,nvfp4,384,7168,2048,8,384,2,16,power_law_1.2,0.11880960464477539
TRTLLM,1.2.0rc5,NVIDIA B200,moe,moe_torch_flow_cutlass,nvfp4,512,7168,2048,8,384,2,16,power_law_1.2,0.12444800138473511
TRTLLM,1.2.0rc5,NVIDIA B200,moe,moe_torch_flow_cutlass,nvfp4,768,7168,2048,8,384,2,16,power_law_1.2,0.14101760387420653
