framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
TRTLLM,1.2.0rc5,NVIDIA GB200,moe,moe_torch_flow,fp8,1,4096,14336,2,8,1,1,balanced,0.1364959975083669
TRTLLM,1.2.0rc5,NVIDIA GB200,moe,moe_torch_flow,float16,1,4096,14336,2,8,1,1,balanced,0.20905599991480509
TRTLLM,1.2.0rc5,NVIDIA GB200,moe,moe_torch_flow,float16,2,4096,14336,2,8,1,1,balanced,0.39665599664052326
TRTLLM,1.2.0rc5,NVIDIA GB200,moe,moe_torch_flow,fp8,2,4096,14336,2,8,1,1,balanced,0.19955732425053915
TRTLLM,1.2.0rc5,NVIDIA GB200,moe,moe_torch_flow,nvfp4,1,4096,14336,2,8,1,1,balanced,0.12441600362459819
TRTLLM,1.2.0rc5,NVIDIA GB200,moe,moe_torch_flow,float16,4,4096,14336,2,8,1,1,balanced,0.5791946649551392
TRTLLM,1.2.0rc5,NVIDIA GB200,moe,moe_torch_flow,fp8,4,4096,14336,2,8,1,1,balanced,0.34253867467244464
TRTLLM,1.2.0rc5,NVIDIA GB200,moe,moe_torch_flow,nvfp4,2,4096,14336,2,8,1,1,balanced,0.20011200507481894
TRTLLM,1.2.0rc5,NVIDIA GB200,moe,moe_torch_flow,float16,8,4096,14336,2,8,1,1,balanced,0.5928053458531698
TRTLLM,1.2.0rc5,NVIDIA GB200,moe,moe_torch_flow_min_latency,nvfp4,1,4096,14336,2,8,1,1,balanced,0.03400533397992452
TRTLLM,1.2.0rc5,NVIDIA GB200,moe,moe_torch_flow,fp8,8,4096,14336,2,8,1,1,balanced,0.3149440089861552
TRTLLM,1.2.0rc5,NVIDIA GB200,moe,moe_torch_flow,nvfp4,4,4096,14336,2,8,1,1,balanced,0.3328373432159424
TRTLLM,1.2.0rc5,NVIDIA GB200,moe,moe_torch_flow,float16,16,4096,14336,2,8,1,1,balanced,0.5913120110829672
TRTLLM,1.2.0rc5,NVIDIA GB200,moe,moe_torch_flow,fp8,16,4096,14336,2,8,1,1,balanced,0.30644800265630084
TRTLLM,1.2.0rc5,NVIDIA GB200,moe,moe_torch_flow_min_latency,nvfp4,2,4096,14336,2,8,1,1,balanced,0.0347626656293869
TRTLLM,1.2.0rc5,NVIDIA GB200,moe,moe_torch_flow,nvfp4,8,4096,14336,2,8,1,1,balanced,0.3352213303248088
TRTLLM,1.2.0rc5,NVIDIA GB200,moe,moe_torch_flow,float16,32,4096,14336,2,8,1,1,balanced,0.6070026556650797
TRTLLM,1.2.0rc5,NVIDIA GB200,moe,moe_torch_flow,fp8,32,4096,14336,2,8,1,1,balanced,0.34112000465393066
TRTLLM,1.2.0rc5,NVIDIA GB200,moe,moe_torch_flow_min_latency,nvfp4,4,4096,14336,2,8,1,1,balanced,0.03642133375008901
TRTLLM,1.2.0rc5,NVIDIA GB200,moe,moe_torch_flow,nvfp4,16,4096,14336,2,8,1,1,balanced,0.3492106596628825
