framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,16384,12.562940470377605
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,16384,6.508880106608073
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,12288,5.002264404296875
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,12288,9.3069091796875
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,10240,4.478539530436198
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,10240,8.361481730143229
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,8192,6.046276346842448
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,8192,3.342089589436849
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,8192,1.979916763305664
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,7168,5.427149963378906
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,7168,3.0277056376139324
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,10240,2.5275433858235674
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,6144,4.667766316731771
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,6144,2.556841532389323
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,12288,3.226138559977213
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,5120,3.8162025451660155
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,5120,1.9730528513590495
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,6144,1.5321343739827475
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,4096,3.060254923502604
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,4096,1.556056594848633
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,7168,1.8343648274739581
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,3584,2.698851267496745
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,3584,1.2377984364827475
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,5120,1.1993824005126954
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,3072,2.239789835611979
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,3072,1.12238400777181
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,16384,4.277416483561198
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,2560,1.6984160105387371
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,2560,0.8382975896199545
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,3584,0.8469802856445312
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,2048,1.3881258646647134
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,2048,0.7488362630208333
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,4096,0.9738869349161783
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,1536,0.9380885442097983
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,1536,0.6506975809733073
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,3072,0.7411690394083659
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,1024,0.6493792215983073
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,1024,0.4178261439005534
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,2560,0.6364224116007487
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,768,0.47967999776204423
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,768,0.44667625427246094
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,1024,0.34389333724975585
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,512,0.3610431989034017
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,512,0.28248427708943685
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,768,0.2955648104349772
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,256,0.2310101350148519
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,256,0.2076810677846273
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,256,0.20615359942118325
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,128,0.1945247968037923
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,128,0.18296213150024415
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,2048,0.5454720179239909
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,64,0.17441919644673665
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,64,0.19332159360249837
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,32,0.16998613675435384
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,32,0.18514560063680013
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,1536,0.45619732538859054
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,128,0.18394452730814617
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,65536,7.236874898274739
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,16384,3.395074208577474
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,65536,13.128580729166666
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,16384,1.8451829274495442
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,512,0.2604159990946452
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,12288,1.2629236857096353
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,12288,2.167420705159505
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,10240,1.9869888305664063
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,10240,1.083019765218099
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,10240,0.7177866617838542
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,8192,1.422923787434896
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,8192,0.8845674514770507
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,12288,0.8270090738932291
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,7168,1.2434059143066407
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,7168,0.7430357615152995
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,16384,1.1008416493733724
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,6144,0.9949173609415689
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,6144,0.6426549275716146
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,8192,0.5657941182454427
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,5120,0.8436469395955404
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,5120,0.5988970438639323
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,7168,0.46052052179972336
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,4096,0.5853226979573567
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,4096,0.4222367922465007
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,5120,0.3466645240783691
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,3584,0.5343338648478191
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,3584,0.3706026713053385
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,6144,0.40546560287475586
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,3072,0.45233599344889325
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,4096,0.2698261260986328
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,3072,0.31201388041178385
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,2560,0.3790143966674805
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,2560,0.32553173700968424
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,2560,0.18595306078592938
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,2048,0.30796906153361003
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,2048,0.22457706133524574
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,3072,0.2122528076171875
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,1536,0.2333354632059733
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,1536,0.1836352030436198
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,3584,0.25055360794067383
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,1024,0.16770346959431964
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,1024,0.12652053038279215
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,1024,0.09938666820526124
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,768,0.13271360397338866
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,768,0.10814507007598877
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,1536,0.1281920035680135
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,512,0.09194986820220948
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,512,0.08336426417032877
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,2048,0.15588266054789227
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,256,0.061069866021474205
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,256,0.07035413583119711
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,768,0.08593066533406576
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,128,0.052858666578928626
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,512,0.07502293586730957
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,128,0.06390719811121623
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,64,0.04725866715113322
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,64,0.06290986537933349
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,32,0.04708693424860637
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,32,0.06380266745885213
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,128,0.05686506827672323
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,256,0.06321066617965698
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,fp8,8192,12288,65536,5.578328450520834
TRTLLM,1.2.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,12288,16384,2.1547999064127605
