framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
VLLM,0.14.1.dev1+gd68209402,NVIDIA GB200,moe,flashinfer_cutlass_fused_moe,nvfp4,1,4096,14336,2,8,1,1,power_law_1.01,0.1252992033958435
VLLM,0.14.1.dev1+gd68209402,NVIDIA GB200,moe,flashinfer_cutlass_fused_moe,nvfp4,2,4096,14336,2,8,1,1,power_law_1.01,0.1725152015686035
VLLM,0.14.1.dev1+gd68209402,NVIDIA GB200,moe,flashinfer_cutlass_fused_moe,nvfp4,4,4096,14336,2,8,1,1,power_law_1.01,0.22469120025634765
VLLM,0.14.1.dev1+gd68209402,NVIDIA GB200,moe,flashinfer_cutlass_fused_moe,nvfp4,8,4096,14336,2,8,1,1,power_law_1.01,0.34858241081237795
VLLM,0.14.1.dev1+gd68209402,NVIDIA GB200,moe,flashinfer_cutlass_fused_moe,nvfp4,16,4096,14336,2,8,1,1,power_law_1.01,0.32912960052490237
VLLM,0.14.1.dev1+gd68209402,NVIDIA GB200,moe,flashinfer_cutlass_fused_moe,nvfp4,32,4096,14336,2,8,1,1,power_law_1.01,0.33470079898834226
VLLM,0.14.1.dev1+gd68209402,NVIDIA GB200,moe,flashinfer_cutlass_fused_moe,nvfp4,48,4096,14336,2,8,1,1,power_law_1.01,0.3411360025405884
VLLM,0.14.1.dev1+gd68209402,NVIDIA GB200,moe,flashinfer_cutlass_fused_moe,nvfp4,64,4096,14336,2,8,1,1,power_law_1.01,0.32970240116119387
VLLM,0.14.1.dev1+gd68209402,NVIDIA GB200,moe,flashinfer_cutlass_fused_moe,nvfp4,80,4096,14336,2,8,1,1,power_law_1.01,0.3207007884979248
VLLM,0.14.1.dev1+gd68209402,NVIDIA GB200,moe,flashinfer_cutlass_fused_moe,nvfp4,96,4096,14336,2,8,1,1,power_law_1.01,0.31712319850921633
VLLM,0.14.1.dev1+gd68209402,NVIDIA GB200,moe,flashinfer_cutlass_fused_moe,nvfp4,128,4096,14336,2,8,1,1,power_law_1.01,0.30957760810852053
VLLM,0.14.1.dev1+gd68209402,NVIDIA GB200,moe,flashinfer_cutlass_fused_moe,nvfp4,160,4096,14336,2,8,1,1,power_law_1.01,0.31858561038970945
VLLM,0.14.1.dev1+gd68209402,NVIDIA GB200,moe,flashinfer_cutlass_fused_moe,nvfp4,192,4096,14336,2,8,1,1,power_law_1.01,0.31422080993652346
VLLM,0.14.1.dev1+gd68209402,NVIDIA GB200,moe,vllm_fused_moe,float16,1,4096,14336,2,8,1,1,power_law_1.01,0.19155839681625367
VLLM,0.14.1.dev1+gd68209402,NVIDIA GB200,moe,flashinfer_cutlass_fused_moe,nvfp4,256,4096,14336,2,8,1,1,power_law_1.01,0.3405440092086792
VLLM,0.14.1.dev1+gd68209402,NVIDIA GB200,moe,vllm_fused_moe,fp8,1,4096,14336,2,8,1,1,power_law_1.01,0.1642591953277588
VLLM,0.14.1.dev1+gd68209402,NVIDIA GB200,moe,flashinfer_cutlass_fused_moe,nvfp4,320,4096,14336,2,8,1,1,power_law_1.01,0.3695904016494751
VLLM,0.14.1.dev1+gd68209402,NVIDIA GB200,moe,flashinfer_cutlass_fused_moe,nvfp4,384,4096,14336,2,8,1,1,power_law_1.01,0.3986176013946533
VLLM,0.14.1.dev1+gd68209402,NVIDIA GB200,moe,flashinfer_cutlass_fused_moe,nvfp4,512,4096,14336,2,8,1,1,power_law_1.01,0.4070847988128662
VLLM,0.14.1.dev1+gd68209402,NVIDIA GB200,moe,vllm_fused_moe,float16,2,4096,14336,2,8,1,1,power_law_1.01,0.2710367918014526
VLLM,0.14.1.dev1+gd68209402,NVIDIA GB200,moe,vllm_fused_moe,float16,4,4096,14336,2,8,1,1,power_law_1.01,0.3298367977142334
