tp,pp,dp,moe_tp,moe_ep,GPUs,bs,memory,TTFT_ms,TPOT_ms,req_latency_ms,tokens/s,tokens/s/gpu,tokens/s/user
1,1,32,1,32,32,7,129.716,245792.29,253.188,1023332.409,618.505,19.328,3.95
1,1,32,1,32,32,6,127.504,240198.765,210.806,887583.095,600.364,18.761,4.744
1,1,32,1,32,32,5,125.292,234605.582,167.795,749903.506,577.994,18.062,5.96
1,1,32,1,32,32,4,123.079,229274.182,126.264,617031.991,543.669,16.99,7.92
2,1,16,1,32,32,12,134.268,257514.654,249.158,1022680.159,524.588,16.393,4.014
2,1,16,1,32,32,11,116.88,143919.822,281.384,1008050.664,517.981,16.187,3.554
2,1,16,1,32,32,10,129.844,251516.475,196.559,855147.883,510.479,15.952,5.088
2,1,16,1,32,32,10,114.668,140916.199,255.085,924282.617,510.372,15.949,3.92
2,1,16,1,32,32,13,136.48,263508.325,294.634,1168329.694,505.53,15.798,3.394
2,1,16,1,32,32,9,112.456,137912.801,229.096,841468.021,500.829,15.651,4.365
2,1,16,1,32,32,11,132.056,257509.808,242.352,1001772.835,489.982,15.312,4.126
2,1,16,1,32,32,8,125.42,245516.64,147.91,699748.394,483.367,15.105,6.761
2,1,16,1,32,32,8,110.244,134908.472,206.43,768853.97,483.259,15.102,4.844
2,1,16,1,32,32,9,127.632,251510.663,190.064,835197.609,469.15,14.661,5.261
2,1,16,1,32,32,7,108.032,131904.42,183.838,696471.169,462.258,14.446,5.44
4,1,8,1,32,32,20,135.464,150641.142,294.209,1054158.109,448.634,14.02,3.399
2,1,16,1,32,32,6,120.995,239517.359,141.717,674729.472,437.031,13.657,7.056
2,1,16,1,32,32,6,105.82,128900.645,161.246,624087.997,436.942,13.654,6.202
4,1,8,1,32,32,16,126.617,144215.393,236.503,870516.944,428.146,13.38,4.228
2,1,16,1,32,32,7,123.207,245510.966,144.82,690252.401,427.941,13.373,6.905
4,1,8,1,32,32,16,117.594,85232.099,267.974,908179.316,427.781,13.368,3.732
4,1,8,1,32,32,15,115.382,83619.705,253.181,861140.007,421.89,13.184,3.95
4,1,8,1,32,32,14,122.193,141003.423,206.937,776505.504,415.719,12.991,4.832
4,1,8,1,32,32,14,113.17,82007.473,238.387,814095.389,415.356,12.98,4.195
4,1,8,1,32,32,13,110.958,80395.405,223.592,767045.46,408.066,12.752,4.472
4,1,8,1,32,32,15,124.405,144211.72,232.142,857118.83,407.328,12.729,4.308
2,1,16,1,32,32,5,103.608,125897.146,139.189,553346.498,404.729,12.648,7.184
4,1,8,1,32,32,12,117.77,137791.779,177.366,682483.45,400.236,12.507,5.638
4,1,8,1,32,32,12,108.746,78783.5,208.794,719990.222,399.881,12.496,4.789
4,1,8,1,32,32,13,119.981,140999.831,202.574,763104.737,392.377,12.262,4.936
4,1,8,1,32,32,11,106.535,77171.758,194.262,673749.091,390.163,12.193,5.148
4,1,8,1,32,32,10,113.346,134580.462,148.327,590092.828,379.444,11.858,6.742
4,1,8,1,32,32,10,104.323,75560.179,179.727,627503.186,379.11,11.847,5.564
4,1,8,1,32,32,11,115.558,137788.269,173.27,669900.785,373.256,11.664,5.771
2,1,16,1,32,32,4,116.571,233522.42,132.968,641867.348,372.172,11.63,7.521
2,1,16,1,32,32,4,101.396,122895.916,113.506,471473.99,372.102,11.628,8.81
2,1,16,1,32,32,5,118.783,239513.767,139.162,666879.113,368.479,11.515,7.186
4,1,8,1,32,32,9,102.111,73948.763,164.2,578207.335,368.284,11.509,6.09
1,1,64,1,64,64,8,130.616,890990.29,283.158,1760567.307,723.619,11.307,3.532
4,1,8,1,32,32,8,108.922,131372.414,118.188,494328.262,354.151,11.067,8.461
4,1,8,1,32,32,8,99.899,72339.126,149.56,531637.872,353.845,11.058,6.686
4,1,8,1,32,32,9,111.134,134578.54,143.238,574461.573,349.943,10.936,6.981
1,1,64,1,64,64,6,126.191,869231.432,268.286,1693136.238,696.607,10.884,3.727
1,1,64,1,64,64,5,95.268,456267.843,260.026,1254807.909,677.817,10.591,3.846
4,1,8,1,32,32,7,97.687,70729.58,134.637,484199.628,337.439,10.545,7.427
8,1,4,1,32,32,24,137.268,88806.283,249.767,855842.241,336.825,10.526,4.004
8,1,4,1,32,32,24,130.706,55624.397,267.7,877730.008,336.439,10.514,3.736
2,1,16,1,32,32,3,99.184,119894.865,105.284,443222.038,332.662,10.396,9.498
1,1,64,1,64,64,4,93.056,445651.729,179.466,996790.871,653.538,10.212,5.572
1,1,64,1,64,64,4,121.766,847971.321,250.232,1616434.865,653.339,10.208,3.996
