tp,pp,dp,moe_tp,moe_ep,GPUs,bs,concurrency,request_rate,memory,TTFT_ms,TPOT_ms,req_latency_ms,tokens/s,tokens/s/gpu,tokens/s/user
1,1,32,1,32,32,16,512,0.658,111.567,132940.721,294.013,734786.192,1346.24,42.07,3.401
1,1,32,1,32,32,14,448,0.637,110.225,129970.818,257.154,656365.992,1304.278,40.759,3.889
1,1,32,1,32,32,13,416,0.625,101.899,73987.908,281.901,651039.868,1280.003,40.0,3.547
1,1,32,1,32,32,15,480,0.623,110.896,132932.711,289.994,726549.737,1275.587,39.862,3.448
1,1,32,1,32,32,12,384,0.612,101.228,72499.427,263.478,611838.671,1252.492,39.14,3.795
1,1,32,1,32,32,12,384,0.612,108.883,127001.627,220.295,577944.66,1252.239,39.132,4.539
1,1,32,1,32,32,13,416,0.599,109.554,129962.986,253.134,648129.254,1225.462,38.296,3.95
1,1,32,1,32,32,11,352,0.597,100.557,71011.303,244.697,571905.861,1222.983,38.218,4.087
1,1,32,1,32,32,10,320,0.581,99.885,69523.534,225.915,531971.768,1189.36,37.168,4.426
1,1,32,1,32,32,10,320,0.581,107.541,124033.148,182.717,498055.796,1189.15,37.161,5.473
1,1,32,1,32,32,11,352,0.569,108.212,126993.973,215.916,568974.797,1164.516,36.391,4.631
1,1,32,1,32,32,9,288,0.562,99.214,68036.122,207.112,491993.833,1150.794,35.962,4.828
1,1,32,1,32,32,8,256,0.546,98.543,66548.749,185.998,447287.027,1117.106,34.91,5.376
1,1,32,1,32,32,8,256,0.546,106.199,121064.804,142.783,413342.39,1116.958,34.905,7.004
1,1,32,1,32,32,9,288,0.532,106.87,124025.376,178.318,489042.074,1088.028,34.001,5.608
1,1,32,1,32,32,7,224,0.525,97.872,65061.745,165.291,403412.557,1074.488,33.578,6.05
1,1,32,1,32,32,6,192,0.5,97.201,63575.112,144.581,359533.244,1022.492,31.953,6.917
1,1,32,1,32,32,6,192,0.499,104.856,118097.2,130.162,384539.526,1022.41,31.95,7.683
1,1,32,1,32,32,7,224,0.491,105.527,121057.217,136.48,400431.593,1004.975,31.405,7.327
2,1,16,1,32,32,20,320,0.479,98.879,74920.34,280.022,648125.83,980.176,30.63,3.571
1,1,32,1,32,32,5,160,0.47,96.53,62088.849,123.242,314366.114,961.233,30.039,8.114
2,1,16,1,32,32,16,256,0.452,96.196,71720.503,230.101,542736.669,925.552,28.923,4.346
2,1,16,1,32,32,16,256,0.451,92.15,42623.66,253.816,562185.26,923.718,28.866,3.94
2,1,16,1,32,32,15,240,0.443,91.479,41817.839,241.19,535533.549,907.283,28.353,4.146
2,1,16,1,32,32,14,224,0.435,94.855,70124.005,204.884,489521.03,891.019,27.844,4.881
2,1,16,1,32,32,14,224,0.434,90.808,41012.08,228.56,508873.401,889.217,27.788,4.375
1,1,32,1,32,32,5,160,0.432,104.185,118090.112,123.232,370345.781,884.657,27.646,8.115
2,1,16,1,32,32,15,240,0.431,95.525,71719.118,225.251,532807.096,883.179,27.599,4.439
1,1,32,1,32,32,4,128,0.427,103.514,115130.95,117.728,356120.28,873.297,27.291,8.494
1,1,32,1,32,32,4,128,0.427,95.859,60603.279,103.341,272142.497,873.328,27.291,9.677
2,1,16,1,32,32,13,208,0.425,90.138,40206.382,215.925,482204.817,869.26,27.164,4.631
4,1,8,1,32,32,32,256,0.422,99.448,45482.488,271.283,600799.306,864.363,27.011,3.686
4,1,8,1,32,32,32,256,0.421,97.042,30115.453,284.687,612870.386,861.366,26.918,3.513
2,1,16,1,32,32,12,192,0.415,93.513,68527.631,179.658,436288.518,848.824,26.526,5.566
2,1,16,1,32,32,12,192,0.414,89.467,39400.746,203.286,455527.796,847.096,26.472,4.919
2,1,16,1,32,32,13,208,0.412,94.184,70122.651,200.032,479587.238,843.645,26.364,4.999
4,1,8,1,32,32,28,224,0.402,96.766,43755.08,247.086,549541.086,823.552,25.736,4.047
2,1,16,1,32,32,11,176,0.402,88.796,38595.171,190.331,428202.736,823.534,25.735,5.254
4,1,8,1,32,32,28,224,0.401,94.36,28355.495,260.384,561361.114,820.765,25.649,3.84
2,1,16,1,32,32,10,160,0.39,92.172,66931.38,153.798,381756.157,798.569,24.955,6.502
2,1,16,1,32,32,10,160,0.389,88.126,37789.658,177.371,400868.611,796.951,24.905,5.638
2,1,16,1,32,32,11,176,0.389,92.843,68526.308,174.491,425709.334,796.265,24.883,5.731
4,1,8,1,32,32,24,192,0.379,94.084,42028.542,222.883,498270.763,774.798,24.212,4.487
4,1,8,1,32,32,24,192,0.377,91.678,26597.277,236.068,509827.643,772.271,24.133,4.236
2,1,16,1,32,32,9,144,0.374,87.455,36984.207,164.72,374166.255,765.447,23.92,6.071
1,1,32,1,32,32,3,96,0.362,95.188,59118.063,100.58,265005.909,741.82,23.182,9.942
8,1,4,1,32,32,56,224,0.362,112.102,31883.858,287.941,621299.326,741.63,23.176,3.473
2,1,16,1,32,32,9,144,0.36,91.501,66921.743,148.938,371798.23,736.587,23.018,6.714
1,1,64,1,64,64,10,640,0.713,77.517,242314.975,269.672,794333.01,1459.467,22.804,3.708
4,1,8,1,32,32,20,160,0.351,91.402,40302.873,198.049,445708.501,717.522,22.423,5.049
2,1,16,1,32,32,8,128,0.35,90.831,65318.96,131.882,335281.253,717.288,22.415,7.583
2,1,16,1,32,32,8,128,0.35,86.784,36169.876,155.378,354228.324,715.941,22.373,6.436
4,1,8,1,32,32,20,160,0.349,88.996,24840.799,211.117,456996.414,715.294,22.353,4.737
8,1,4,1,32,32,48,192,0.344,106.739,29902.974,258.219,558477.702,705.012,22.032,3.873
8,1,4,1,32,32,48,192,0.342,104.989,20196.471,266.777,566289.098,700.944,21.905,3.748
1,1,64,1,64,64,8,512,0.681,76.175,236516.314,198.165,642160.477,1394.872,21.795,5.046
1,1,64,1,64,64,8,512,0.681,68.52,129959.74,282.693,708631.301,1394.841,21.794,3.537
1,1,64,1,64,64,7,448,0.661,67.849,127056.047,246.816,632289.406,1352.594,21.134,4.052
2,1,16,1,32,32,7,112,0.329,86.114,35356.005,142.661,327383.158,674.396,21.075,7.01
1,1,64,1,64,64,9,576,0.652,76.846,242299.989,262.433,779499.686,1335.578,20.868,3.811
1,1,32,1,32,32,3,96,0.326,102.843,115152.476,114.981,350519.438,667.456,20.858,8.697
4,1,8,1,32,32,16,128,0.324,88.72,38578.457,168.273,383032.829,662.4,20.7,5.943
